name,start_read_date,end_read_date,estimated_volume,volume,grass_area,difference,difference_pct,wasted_tl,year_month
KEMAL SUNAL PARKI,2018-03-21,2018-05-21,0,500,1600.0,500,0.0,10000,2018-05-01
ATA PARK,2016-09-02,2016-10-04,851,1451,6052.0,600,70.50528789659224,12000,2016-10-01
İSMET İNÖNÜ PARKI,2017-06-22,2017-07-27,2237,3807,9088.0,1570,70.183281180152,31400,2017-07-01
YUNUS EMRE PARKI,2022-05-05,2022-06-01,24,379,4847.0,355,1479.1666666666665,7100,2022-06-01
RAUF DENKTAŞ PARKI,2017-06-23,2017-07-28,1373,2099,5562.0,726,52.87691187181355,14520,2017-07-01
HAMZA AKSOY PARKI,2021-08-04,2021-09-02,332,543,1916.0,211,63.55421686746988,4220,2021-09-01
KAĞAN GÜRŞEN PARKI,2021-10-28,2022-06-01,13,87,1125.0,74,569.2307692307693,1480,2022-06-01
AYTEN BAYKAL PARKI,2016-03-01,2016-05-02,0,1,2236.0,1,0.0,20,2016-05-01
YUNUS EMRE PARKI,2018-11-02,2019-05-25,0,136,4847.0,136,0.0,2720,2019-05-01
NECATİ YURTTAKALAN PARKI,2016-03-31,2016-06-29,131,187,1011.0,56,42.74809160305343,1120,2016-06-01
ATA PARK,2018-08-31,2018-10-03,889,949,6052.0,60,6.749156355455568,1200,2018-10-01
TEOMAN ÖZTÜRK PARKI,2018-04-20,2018-05-21,0,42,8000.0,42,0.0,840,2018-05-01
ŞÜKRAN GÜNGÖR,2018-04-20,2018-05-22,0,73,1058.0,73,0.0,1460,2018-05-01
EFE ECE DALMANOĞLU PARKI,2021-08-02,2021-08-31,4,30,25.0,26,650.0,520,2021-08-01
İSMET İNÖNÜ PARKI,2017-08-24,2017-09-29,2144,2296,9088.0,152,7.08955223880597,3040,2017-09-01
NEŞET ERTAŞ PARKI,2016-06-29,2016-08-02,638,775,3160.0,137,21.473354231974923,2740,2016-08-01
KAĞAN GÜRŞEN PARKI,2018-03-23,2018-04-19,0,34,1125.0,34,0.0,680,2018-04-01
İSMET İNÖNÜ PARKI,2020-06-03,2021-08-05,10463,28239,9088.0,17776,169.89391187995795,355520,2021-08-01
ATA PARK,2020-04-01,2020-04-29,0,305,6052.0,305,0.0,6100,2020-04-01
BERFO ANA PARKI,2018-03-21,2018-04-19,0,142,11200.0,142,0.0,2840,2018-04-01
