subscription,name,start_read_date,end_read_date,estimated_volume,volume,grass_area
556459,İLHAN ERDOST PARKI,2020-09-04,2020-10-06,462,212.0,2676
1073156,İSMET İNÖNÜ PARKI,2022-12-05,2023-08-05,4363,897.0,9088
1446573,AYTEN BAYKAL PARKI,2016-11-04,2017-04-27,157,2.0,2236
1074372,NEJAT UYGUR PARKI,2022-11-30,2023-06-01,201,36.0,1470
1445850,TEOMAN ÖZTÜRK PARKI,2023-07-08,2023-08-07,1692,836.0,8000
611617,YUNUS EMRE PARKI,2022-11-30,2023-07-05,1340,151.0,4847
1445850,TEOMAN ÖZTÜRK PARKI,2023-08-07,2023-09-05,1903,942.0,8000
1446436,RAUF DENKTAŞ PARKI,2018-04-19,2018-05-22,739,471.0,5562
1447076,HAMZA AKSOY PARKI,2016-06-29,2016-08-03,403,131.0,1916
2246025,KEMAL SUNAL PARKI,2016-08-27,2016-10-01,230,353.0,1600
1071286,NECATİ YURTTAKALAN PARKI,2018-11-01,2019-07-01,315,40.0,1011
1073156,İSMET İNÖNÜ PARKI,2023-08-05,2023-09-06,2385,644.0,9088
670666,TEOMAN EREL PARKI,2020-08-07,2020-09-08,655,374.0,2765
1074372,NEJAT UYGUR PARKI,2022-06-02,2022-06-30,149,108.0,1470
2246325,SÜLEYMAN TÜRKOĞLU PARKI,2019-10-02,2020-07-03,858,350.0,1919
1446837,KAĞAN GÜRŞEN PARKI,2018-08-31,2018-10-02,160,2.0,1125
1445850,TEOMAN ÖZTÜRK PARKI,2023-01-05,2023-05-06,604,18.0,8000
1446573,AYTEN BAYKAL PARKI,2015-08-04,2015-09-02,340,71.0,2236
1446436,RAUF DENKTAŞ PARKI,2019-05-22,2019-06-27,842,1056.0,5562
1446573,AYTEN BAYKAL PARKI,2021-08-04,2021-09-02,387,59.0,2236
611617,YUNUS EMRE PARKI,2023-07-05,2023-08-02,902,955.0,4847
2246419,ŞÜKRAN GÜNGÖR,2016-08-31,2016-10-04,154,139.0,1058
1446966,SEMA YAZAR PARKI,2018-08-31,2018-10-02,406,339.0,2850
671617,ATA PARK,2015-06-01,2015-07-01,524,294.0,6052
1074372,NEJAT UYGUR PARKI,2016-08-27,2016-10-03,226,362.0,1470
1447067,NEŞET ERTAŞ PARKI,2020-09-07,2020-10-06,491,1660.0,3160
1446573,AYTEN BAYKAL PARKI,2021-09-02,2021-10-01,231,27.0,2236
1071286,NECATİ YURTTAKALAN PARKI,2022-05-31,2022-09-01,461,79.0,1011
1070089,ATAPARK,2017-10-28,2018-04-21,655,18.0,8271
2246325,SÜLEYMAN TÜRKOĞLU PARKI,2021-06-26,2021-08-02,412,620.0,1919
2246271,BERFO ANA PARKI,2019-01-23,2019-04-20,431,82.0,11200
670666,TEOMAN EREL PARKI,2022-10-04,2023-05-05,330,6.0,2765
556459,İLHAN ERDOST PARKI,2018-09-01,2018-09-28,333,784.0,2676
671617,ATA PARK,2021-12-01,2022-05-05,676,27.0,6052
1445850,TEOMAN ÖZTÜRK PARKI,2019-06-29,2019-07-29,1373,561.0,8000
