subscription,district,name,address,volume,price,start_read_date,end_read_date
2247247,ÇANKAYA,ÇANKAYA BEL.BK.PARK.BAH.M D.DOÇ.DR.AHMET KÜÇÜKEL P,3306 SK,21.0,69.93,2019-08-01,2019-09-06
2998240,ÇANKAYA,ÇANKAYA BEL.BŞK. PARK VE BAH.MÜD.,VEDAT DALOKAY CAD,8.0,67.88,2022-09-01,2022-10-03
332047,ÇANKAYA,ANITPARK,MARAŞAL FEVZİ ÇAKMAK CAD,1157.0,3852.81,2019-10-03,2020-06-02
1070768,ÇANKAYA,CUMHURİYET PARKI,BANGABANDHU ŞEYH MUCİBURRAHMAN BLV,299.0,3143.03,2023-06-05,2023-07-08
1070789,ÇANKAYA,ATATÜRK SİTESİ PARKI,HACI MUSTAFA BEYNAM SK,28.0,292.54,2023-05-05,2023-07-08
670573,ÇANKAYA,SEVGİ PARKI,2481 sk,1.0,4.25,2017-10-27,2018-04-18
2246306,ÇANKAYA,PARK,SAKARYA CAD,26.0,90.92,2021-09-02,2021-09-30
2248691,ÇANKAYA,ÇANKAYA BEL.BŞK.PARK VE B AH. MÜD.,695 CAD,107.0,789.51,2022-06-02,2022-06-30
670518,ÇANKAYA,BAYRAKTAR PARKI,GEZEGEN SK,67.0,691.07,2023-03-03,2023-06-07
1445850,ÇANKAYA,TEOMAN ÖZTÜRK PARKI,KARAKAŞ SK,327.0,1466.64,2015-08-31,2015-10-01
671482,ÇANKAYA,KAZIM ÖZCAN PARKI,İĞDE CAD,180.0,1495.8,2022-08-03,2022-09-05
1071387,ÇANKAYA,BARIŞ SİTE PARK,2101 SK,103.0,1315.16,2023-09-02,2023-10-07
1445850,ÇANKAYA,TEOMAN ÖZTÜRK PARKI,KARAKAŞ SK,3.0,22.2,2022-06-06,2022-07-02
1446107,ÇANKAYA,KAMER KILIÇ PARKI,1046 SK,4.0,17.19,2015-03-03,2015-04-30
674512,ÇANKAYA,CEMAL SÜREYYA PARKI,UÇARLI SK,458.0,1525.14,2020-11-05,2021-06-02
2246656,ÇANKAYA,BARIŞ PARKI,1235 CAD,55.0,407.0,2022-06-06,2022-06-29
2997630,ÇANKAYA,ÇANKAYA BEL.BŞK.PARK VE B AH.MÜD.,4981 SK,647.0,2154.51,2019-12-31,2020-06-02
1446292,ÇANKAYA,HİLAL PARKI,677 CAD,16.0,62.31,2018-10-02,2019-06-29
332050,ÇANKAYA,HADİYE TUNCER PARKI,ERGİN SK,6.0,19.98,2019-04-25,2019-05-22
668428,ÇANKAYA,PARK,1550 CAD,1777.0,5917.41,2020-08-05,2020-09-05
2248040,ÇANKAYA,ÇANKAYA BEL.BŞK.PARK VE B AH. MÜD.,2679 SK,617.0,2810.71,2018-04-19,2018-05-22
2246205,ÇANKAYA,İSİMSİZ PARK,GÖNÜL SK,28.0,112.18,2017-07-31,2017-08-26
1070590,ÇANKAYA,SAĞLIK OCAĞI PARKI,1943 CAD,6228.0,24431.01,2014-10-01,2017-05-24
